System,DF Activated,FountainType,FountainCount,Painted,Filter Installed,Position,Outdoor,GISPropNum,PropertyName,OMPPropID,SubPropertyName,ParkDistrict,Borough,AMPSID,AMPSClass,AMPSStatus,AMPSParentID,AMPSName,CommunityBoard,CouncilDistrict,Precinct,ZIPCode
B245-DF0472,Activated,E,1,FALSE,FALSE,Out in Open,TRUE,B245,St. John's Park,B245,,B-08,B,"100,038,008",DRINKFTN,I,B245,E-St. John's Park,308,36,77,11213
B245-DF0473,Activated,C,1,TRUE,FALSE,Under Tree,TRUE,B245,St. John's Park,B245,,B-08,B,"100,038,031",DRINKFTN,I,B245,C-St. John's Park,308,36,77,11213
B245-DF0474,Activated,C,1,TRUE,FALSE,Under Tree,TRUE,B245,St. John's Park,B245,,B-08,B,"100,038,052",DRINKFTN,I,B245,C-St. John's Park,308,36,77,11213
B245-DF0475,Activated,C,1,TRUE,FALSE,Out in Open,TRUE,B245,St. John's Park,B245,,B-08,B,"100,038,118",DRINKFTN,I,B245,C-St. John's Park,308,36,77,11213
B245-DF0476,Activated,C,1,TRUE,FALSE,Out in Open,TRUE,B245,St. John's Park,B245,,B-08,B,"100,038,146",DRINKFTN,I,B245,C-St. John's Park,308,36,77,11213
B245-DF0477,Activated,E,1,FALSE,FALSE,Under Tree,TRUE,B245,St. John's Park,B245,,B-08,B,"100,038,192",DRINKFTN,I,B245,E-St. John's Park,308,36,77,11213
B245-DF0478,Activated,E,1,FALSE,FALSE,Out in Open,TRUE,B245,St. John's Park,B245,,B-08,B,"100,038,113",DRINKFTN,I,B245,E-St. John's Park,308,36,77,11213
B245-DF0479,Activated,E,1,FALSE,FALSE,Out in Open,TRUE,B245,St. John's Park,B245,,B-08,B,"100,038,188",DRINKFTN,I,B245,E-St. John's Park,308,36,77,11213
B245-DF0480,Activated,E,1,FALSE,FALSE,Out in Open,TRUE,B245,St. John's Park,B245,,B-08,B,"100,038,110",DRINKFTN,I,B245,E-St. John's Park,308,36,77,11213
B245-DF1023,Activated,CS Metal,1,,FALSE,,TRUE,B245,St. John's Park,B245,,B-08,B,"100,043,040",DRINKFTN,I,B245,CS Metal-St. John's Park,308,36,77,11213
B245-DF1086,Activated,Bottle Filler Fountain,2,,FALSE,Indoor,FALSE,B245,St. John's Park,B245,,B-08,B,"100,043,070",DRINKFTN,I,B245-BLG1089,Bottle Filler Fountain-St. John's Recreation Center,308,36,77,11213
B245-DF1087,Activated,Bottle Filler Fountain,2,,FALSE,Indoor,FALSE,B245,St. John's Park,B245,,B-08,B,"100,043,066",DRINKFTN,I,B245-BLG1089,Bottle Filler Fountain-St. John's Recreation Center,308,36,77,11213
B245-DF1088,Activated,Indoor Drinking Fountain,1,,TRUE,Indoor,FALSE,B245,St. John's Park,B245,,B-08,B,"100,043,075",DRINKFTN,I,B245-BLG1089,Indoor Drinking Fountain-St. John's Recreation Center,308,36,77,11213
B245-DF1130,Activated,Food Prep Sink,1,,FALSE,Indoor,FALSE,B245,St. John's Park,B245,,B-08,B,"100,042,463",DRINKFTN,I,B245-BLG1089,Food Prep Sink-St. John's Recreation Center-St. John's Recreation Center,308,36,77,11213
B246-DF0156,Activated,D,1,FALSE,FALSE,Just Outside Playground,TRUE,B246,Jerome Playground,B246,,B-05,B,"100,037,510",DRINKFTN,I,B246,D-Jerome Playground,305,42,75,11207
B246-DF0157,Activated,D,1,FALSE,FALSE,"Out in Open, Just Outside Playground",TRUE,B246,Jerome Playground,B246,,B-05,B,"100,037,534",DRINKFTN,I,B246,D-Jerome Playground,305,42,75,11207
B246-DF0158,Activated,CS Concrete,1,FALSE,FALSE,Just Outside Playground,TRUE,B246,Jerome Playground,B246,,B-05,B,"100,037,581",DRINKFTN,I,B246,CS Concrete-Jerome Playground,305,42,75,11207
B247-DF0433,Broken,D,1,TRUE,FALSE,"Out in Open, In Playground",TRUE,B247,Breukelen Ballfields,B247-01,Breukelen Plgd,B-18,B,"100,038,012",DRINKFTN,I,B247-01,D-Breukelen Ballfields-Breukelen Plgd,318,42,69,11207
B247-DF0434,Activated,A,1,TRUE,FALSE,"Out in Open, In Playground",TRUE,B247,Breukelen Ballfields,B247-01,Breukelen Plgd,B-18,B,"100,038,039",DRINKFTN,I,B247-01,A-Breukelen Ballfields-Breukelen Plgd,318,42,69,11207
,UnderConstruction,CS Concrete,,,,,TRUE,,,,,Q-15,Q,,DRINKFTN,,,,,,,
B247-DF0435,Activated,A,1,TRUE,FALSE,"Out in Open, Near Ballfield",TRUE,B247,Breukelen Ballfields,B247-01,Breukelen Plgd,B-18,B,"100,038,088",DRINKFTN,I,B247-01,A-Breukelen Ballfields-Breukelen Plgd,318,42,69,11207
B247-DF0442,Activated,C,1,FALSE,FALSE,"Out in Open, Near Ballfield",TRUE,B247,Breukelen Ballfields,B247,,B-18,B,"100,038,063",DRINKFTN,I,B247,C-Breukelen Ballfields,318,42,69,11207
B247-DF0443,Activated,C,1,FALSE,FALSE,"Out in Open, Near Ballfield",TRUE,B247,Breukelen Ballfields,B247,,B-18,B,"100,038,030",DRINKFTN,I,B247,C-Breukelen Ballfields,318,42,69,11207
B247-DF0444,Activated,C,1,FALSE,FALSE,"Out in Open, Near Ballfield, Under Tree",TRUE,B247,Breukelen Ballfields,B247,,B-18,B,"100,038,077",DRINKFTN,I,B247,C-Breukelen Ballfields,318,42,69,11207
B247-DF0446,Activated,C,1,FALSE,FALSE,"Out in Open, Near Ballfield",TRUE,B247,Breukelen Ballfields,B247,,B-18,B,"100,038,036",DRINKFTN,I,B247,C-Breukelen Ballfields,318,42,69,11207
B247-DF0447,Activated,C,1,FALSE,FALSE,"Out in Open, Near Ballfield",TRUE,B247,Breukelen Ballfields,B247,,B-18,B,"100,038,064",DRINKFTN,I,B247,C-Breukelen Ballfields,318,42,69,11207
B248-DF0517,Activated,D,1,FALSE,FALSE,"Out in Open, In Playground",TRUE,B248,Fox Playground,B248,,B-18,B,"100,038,204",DRINKFTN,I,B248,D-Fox Playground,318,46,63,11234
B248-DF0518,Activated,CS Metal,1,TRUE,FALSE,"Under Tree, Out in Open, Just Outside Playground",TRUE,B248,Fox Playground,B248,,B-18,B,"100,038,211",DRINKFTN,I,B248,CS Metal-Fox Playground,318,46,63,11234
B248-DF0519,Activated,D,1,FALSE,FALSE,"Under Tree, Out in Open, Just Outside Playground",TRUE,B248,Fox Playground,B248,,B-18,B,"100,038,206",DRINKFTN,I,B248,D-Fox Playground,318,46,63,11234
B249-DF0102,Activated,A,1,TRUE,FALSE,"Under Tree, In Shade",TRUE,B249,Van Dyke Playground,B249,,B-16,B,"100,037,566",DRINKFTN,I,B249,A-Van Dyke Playground,316,41,73,11212
B249-DF0103,Activated,C,1,TRUE,FALSE,In Playground,TRUE,B249,Van Dyke Playground,B249,,B-16,B,"100,037,509",DRINKFTN,I,B249,C-Van Dyke Playground,316,41,73,11212
B249-DF0104,Activated,A,1,TRUE,FALSE,"Under Tree, In Shade",TRUE,B249,Van Dyke Playground,B249,,B-16,B,"100,037,533",DRINKFTN,I,B249,A-Van Dyke Playground,316,41,73,11212
B250-DF0630,Activated,C,1,FALSE,FALSE,"Out in Open, In Playground",TRUE,B250,Nostrand Playground,B250,,B-17,B,"100,038,777",DRINKFTN,I,B250,C-Nostrand Playground,317,45,67,11210
B250-DF0631,Activated,E,1,FALSE,FALSE,"Out in Open, Near Ballfield",TRUE,B250,Nostrand Playground,B250,,B-17,B,"100,038,753",DRINKFTN,I,B250,E-Nostrand Playground,317,45,67,11210
